WellName,MD,CN,GR,ZDEN,RT,Lithology Primary,Lithology Secondary
Well-57,1272.6,0.21,37.21,2.42,2.44,108,103
Well-57,1272.7,0.2,36.86,2.42,2.53,108,103
Well-57,1272.8,0.19,36.3,2.42,2.7,108,103
Well-57,1272.9,0.18,35.38,2.42,2.96,108,103
Well-57,1273,0.17,34.25,2.43,3.33,108,103
Well-57,1273.1,0.16,33.35,2.44,3.79,108,103
Well-57,1273.2,0.15,32.83,2.46,4.17,108,103
Well-57,1273.3,0.15,32.7,2.47,4.5,108,103
Well-57,1273.4,0.15,32.72,2.49,4.97,108,103
Well-57,1273.5,0.15,32.77,2.5,5.56,108,103
Well-57,1273.6,0.14,32.8,2.52,6.16,108,103
Well-57,1273.7,0.14,33.09,2.53,6.75,108,103
Well-57,1273.8,0.13,33.73,2.55,7.55,108,103
Well-57,1273.9,0.13,34.61,2.57,8.77,108,103
Well-57,1274,0.13,35.39,2.59,9.81,108,103
Well-57,1274.1,0.14,36.26,2.6,9.36,108,103
Well-57,1274.2,0.15,38.01,2.59,7.73,101,104
Well-57,1274.3,0.15,41.74,2.57,6.02,101,104
Well-57,1274.4,0.16,47.83,2.55,4.68,101,104
Well-57,1274.5,0.17,55.94,2.51,3.86,108,103
Well-57,1274.6,0.19,65.09,2.48,3.38,108,103
Well-57,1274.7,0.21,74.41,2.44,2.98,108,103
Well-57,1274.8,0.24,83.22,2.39,2.61,108,103
Well-57,1274.9,0.26,90.83,2.36,2.33,108,103
Well-57,1275,0.28,96.17,2.33,2.18,108,103
Well-57,1275.1,0.29,98.46,2.32,2.1,108,103
Well-57,1275.2,0.29,97.77,2.33,2.01,108,103
Well-57,1275.3,0.27,95.53,2.35,1.92,108,103
Well-57,1275.4,0.25,93.48,2.38,1.87,108,103
Well-57,1275.5,0.23,92.1,2.42,1.91,108,103
Well-57,1275.6,0.21,90.53,2.46,2.06,108,103
Well-57,1275.7,0.2,87.69,2.48,2.28,108,103
Well-57,1275.8,0.19,83.23,2.5,2.57,108,103
Well-57,1275.9,0.18,78.46,2.51,2.92,108,103
Well-57,1276,0.18,75.3,2.52,3.27,102,104
Well-57,1276.1,0.18,75.4,2.52,3.44,102,104
Well-57,1276.2,0.18,79.47,2.51,3.25,102,104
Well-57,1276.3,0.19,87.02,2.49,2.87,108,103
Well-57,1276.4,0.22,96.17,2.46,2.53,108,103
Well-57,1276.5,0.24,104.81,2.42,2.25,108,103
Well-57,1276.6,0.27,111.67,2.39,2,108,103
Well-57,1276.7,0.29,116.98,2.36,1.79,108,103
Well-57,1276.8,0.31,121.88,2.34,1.63,103,108
Well-57,1276.9,0.33,127.5,2.31,1.54,103,108
Well-57,1277,0.35,133.61,2.28,1.47,103,108
Well-57,1277.1,0.37,139.17,2.26,1.41,103,108
Well-57,1277.2,0.39,142.94,2.24,1.35,103,108
Well-57,1277.3,0.39,143.96,2.23,1.31,103,108
Well-57,1277.4,0.4,142.23,2.22,1.3,103,108
Well-57,1277.5,0.39,138.4,2.23,1.3,103,108
Well-57,1277.6,0.38,133.35,2.24,1.3,103,108
Well-57,1277.7,0.37,128.39,2.25,1.3,103,108
Well-57,1277.8,0.37,124.58,2.26,1.31,103,108
Well-57,1277.9,0.37,123.08,2.27,1.32,103,108
Well-57,1278,0.38,124.41,2.26,1.33,103,108
Well-57,1278.1,0.39,128.13,2.25,1.35,103,108
Well-57,1278.2,0.41,132.83,2.23,1.36,103,108
Well-57,1278.3,0.43,136.63,2.22,1.35,103,108
Well-57,1278.4,0.43,137.98,2.21,1.33,103,108
Well-57,1278.5,0.43,136.08,2.21,1.31,103,108
Well-57,1278.6,0.42,131.56,2.21,1.29,103,108
Well-57,1278.7,0.41,125.8,2.21,1.28,103,108
Well-57,1278.8,0.4,120.64,2.2,1.28,103,108
Well-57,1278.9,0.4,117.15,2.2,1.3,103,108
Well-57,1279,0.4,115.56,2.19,1.33,103,108
Well-57,1279.1,0.4,115.16,2.19,1.37,103,108
Well-57,1279.2,0.39,115.16,2.19,1.44,103,108
Well-57,1279.3,0.38,114.74,2.2,1.53,103,108
Well-57,1279.4,0.36,113.31,2.21,1.63,103,108
Well-57,1279.5,0.35,111.12,2.22,1.7,103,108
Well-57,1279.6,0.34,109.11,2.24,1.75,103,108
Well-57,1279.7,0.33,108.39,2.25,1.77,103,108
Well-57,1279.8,0.33,110.11,2.26,1.75,103,108
Well-57,1279.9,0.33,113.63,2.28,1.72,103,108
Well-57,1280,0.34,117.85,2.29,1.68,103,108
Well-57,1280.1,0.35,121.21,2.29,1.65,103,108
Well-57,1280.2,0.35,123.32,2.29,1.63,103,108
